group_col,group_value,topic_cluster,topic_size,keywords
docform_cluster,c0004_r0003,2,27,"tax, obama, president, taxes, jeff, president obama, story, wall street, jeeyacation, alan, blackberry, street, sense, income, changes"
docform_cluster,c0004_r0003,1,23,"total, professor, university, krauss, lawrence krauss, school, plane, lawrence, investigation, space, assistant, department, intelligence, ticket, buzzfeed"
docform_cluster,c0004_r0003,5,16,"new york, york, new, ny, york ny, floor new, floor, avenue floor, lexington avenue, lexington, avenue, indyke, darren indyke, darren, kahn"
docform_cluster,c0004_r0003,6,12,"virgin, prize, property, big, says, virgin islands, islands, miami, hillman, michael wolff, wolff, thomas, miami herald, herald, news"
docform_cluster,c0004_r0004,3,36,"trump, donald, donald trump, michael, mr, states, new, paul, washington, krassner, phone, committee, mr trump, paul krassner, select"
docform_cluster,c0004_r0004,5,15,"virgin, islands, virgin islands, epstein, daily news, miami, islands daily, case, daily, news, prosecutors, deal, federal, attorney, acosta"
docform_cluster,c0004_r0004,1,14,"epstein, jeffrey, jeffrey epstein, ghislaine, maxwell, wikipedia, york, ghislaine maxwell, book, prince, new, en wikipedia, new york, en, prince andrew"
docform_cluster,c0004_r0004,4,14,"bannon, question, world, steve, make, epstein jeevacation, internet, steve bannon, right, jeevacation, facebook, jeffrey, coming, social, prime"
docform_cluster,c0004_r0004,0,11,"dershowitz, alan, alan dershowitz, sex, epstein, underage, island, woman, lawyer, roberts, jeffrey epstein, accusers, jeffrey, accuse, false accusers"
docform_cluster,c0004_r0004,2,11,"event, great, don, press, paris, girls, believe, come, know, happy, girl, fun, andrew, ibiza, tigrane"
docform_cluster,c0004_r0004,6,11,"beach, palm, palm beach, perversion, police, perversion justice, epstein, continued, perversion continued, town, justice, islands, told, islands daily, virgin islands"
docform_cluster,c0005_r0000,1,44,"trump, know, make, reid, weingarten reid, weingarten, fun, mueller, time, crazy, donald, boy, told, don, bannon"
docform_cluster,c0005_r0000,0,12,"phone, leave, sorry, need, best, morning, jesus, blackberry, leave airpot, monday morning, airpot thats, airpot, morning leave, thats, thats sorry"
docform_cluster,c0006_r0001,7,59,"larrysummers, glhsummers, glhsummers larrysummers, larry summers, larry, summers, lhsummers larrysummers, lhsummers, bad, trump, circa, times, tried, larrysummers phone, interesting"
docform_cluster,c0006_r0001,2,57,"new, york, new york, want, dont, time, trump, blackberry, send, long, bannon, thnx, man, ii, kuwait"
docform_cluster,c0006_r0001,0,37,"kathy, kathy ruemmler, ruemmler, reid, free, furnished, harder, correct, wikisource free, free online, wikisource, online library, library, ny, time"
docform_cluster,c0006_r0001,5,24,"michael, wolff, michael wolff, peace, yemen, pass, talk, art, say, trump, papers, painting, old, court, great"
docform_cluster,c0006_r0001,3,19,"start, darren, jeffrey, clinton, edit, je, let, join, envoye, etienne, etienne binant, binant, forward fingers, jeffrey needs, count times"
docform_cluster,c0006_r0001,6,17,"force, distribution, law, yi, soon yi, able, soon, doesn, make, yes, didn, office, forgive typos, typos android, android"
docform_cluster,c0006_r0001,4,15,"help, support, don, yes, appreciate, need, happy, coming, birthday, people, appreciate support, drugs, people coming, don need, careful"
docform_cluster,c0006_r0001,1,12,"stock, puts, peggy, floor new, floor, steven, ifp, ny, lexington avenue, lexington, avenue floor, avenue, york ny, richard, peggy siegal"
docform_cluster,c0007_r0001,0,31,"property jee, jee, property, trump, michael, wolff, michael wolff, probably, house, ok, maybe, jee unlawful, unlawful, talk, mail"
docform_cluster,c0007_r0001,1,14,"new, new york, york, end, want, man, bad, look, feeling, sunday, know, trump, early, bring, larry"
docform_cluster,c0007_r0002,2,39,"know, told, talk, donald, trump, day, sure, monday, lawyer, book, said, really, thank, jeff, court"
docform_cluster,c0007_r0002,1,26,"property, property jee, jee, trump, bannon, weingarten reid, reid, weingarten, steve, hard, war, mcgann, ask, boy, way"
docform_cluster,c0007_r0002,0,24,"york, new, new york, trump, politico, florida, dinner, thomas, come, jeffrey, pretty, yes, nytimes, guys, im"
