group_col,group_value,topic_cluster,topic_size,keywords
ALL,ALL,19,20,"academy, members, barak, awards, siegal, rebels, ehud barak, conviction, giving, attempt, interviews, words, los, los angeles, angeles"
ALL,ALL,48,18,"investment, debt, global, ceiling, allocation, asset allocation, asset, private, castle, growth, capital, morgan, market, corporate, chief investment"
ALL,ALL,39,18,"info, apartment, aspen, issues, ambassador, salary, significantly, rent, brief, monthly, rid, internet, eric, complex, obamas"
ALL,ALL,24,18,"wo, agreement, answering, paper, thing, newspapers, lk, saying, published, cool, need, right, best, harvard, mcgahn"
ALL,ALL,52,17,"windows, great fun, fun, great, landed, yes, yes great, sultan, judgement, hes great, till, hour, want, suggest, windows phone"
ALL,ALL,32,17,"filed, district, court, plaintiff, defendant, cv, court southern, district court, libel, southern district, southern, civil, picked, willing, defendants"
ALL,ALL,1,17,"plaza, park, boston ma, boston, esq, ma, law, fbi, relate, accusations, interview, massachusetts, counsel, legal, america"
ALL,ALL,31,16,"united states, states, united, nuclear, irans, relief, president united, report, form, america, government, palestinians, signature, branch, imf"
ALL,ALL,28,16,"oddest, yorks oddest, ward, new yorks, yorks, notes new, notes, vanityfair, oddest alliance, new, alliance, new orleans, orleans, contributors, daily notes"
ALL,ALL,12,15,"pile, cooperation, doing book, delivered, alarming, quite, es, spent phone, wonder, called, doing, introduce, far, day, nyc send"
ALL,ALL,36,15,"boies, accusers, gore, movies, weinstein, island, harvey weinstein, saudi, spy, represents, fabricated, hired, harvey, prez, intelligence"
ALL,ALL,21,15,"car, lady, hotel, radio, grateful, friendly, candidate, prostitute, president arrives, fass, arrives, melania, boca, evening, nations"
ALL,ALL,5,15,"fabricated, claimed, woman, led, ass, history, age, article, story, ep, ex, pound, assaulted, party, sex"
ALL,ALL,3,15,"victim, protect, fraud, questioned, girlfriend, site, surfaced, mess, entire, terramar, terramar project, financing, house plane, respect, potential"
